Link,Stars,Reviews,Nouns,Adjectives,Sentiment,Remarks
https://www.amazon.com/gp/customer-reviews/R31ZK5M0UWDZ4R?ASIN=B07PXGQC1Q,1,"Poor quality microphone. Not suitable for a remote worker taking calls. If your job requires dictation or a high quality mic, go elsewhere","microphone, mic","poor quality, high quality",negative,
https://www.amazon.com/gp/customer-reviews/R13AIAX16Y8XXM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"These are the best pair of wireless earphones I ever came across, apple has definitely done it again. Being an apple fan, I love these! They are so easy to connect! Once I connected them to my iPhone, they were seamlessly connected to my other apple devices. All I have to do is select them in the list from the device you need them to connect and you are good to go. Another good thing is turning them on/off is easy, just remove them from the charging case and they turn on and put them back to turn them off, its simple. And like most of the earphones out there, they connect to the last device you used them with, but its easy to switch device. You have the flexibility to just use one piece, if you like and sometimes it does come handy. Another function I like is the automatic ear detection, just remove a piece from you ear and playback will pause and resume once you put it back, this does help when someone drops by for a conversation and you don't need to actually pickup your phone to pause the playback. The battery life is definitely impressive, I need to charge the case every 2 days. And it's easy to carry everywhere, it being so small. Now the sound quality is crisp and connection is smooth, I found that the 2nd gen AirPods are actually better and improved on 1st gen, but its not worth to upgrade, but if you are planning to get your first one, I would definitely say go for the 2nd gen AirPods, I got a pretty sweet deal on amazon and am very happy with my purchase.","pair of earphones, battery life, sound quality, connectino, deal","best, definitely impressive, crisp, smooth, pretty sweet",positive,
https://www.amazon.com/gp/customer-reviews/RM7B0QA6K2S1K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"Okay, so I bought these after my third pair of cheaper wireless headphones broke. I was getting tired of ones that attached and had the cord that went around my neck. Hence, I decided to search the internet for the best headphones that would work for listening to music/audio books while working out or doing things around the house. I finally decided to try out the AirPods since they had such great reviews, and because they were on sale. When I received the AirPods, I was surprised at how well they actually fit in my ears. I had worried about them falling out, and though they have fallen out a few times due to my children rough housing and landing on my head, they have worked great for walking around the house and exercising. The sound quality is really amazing, and I am pleasantly surprised at how quickly they charge. I will update this once I've had them longer than a few weeks, but I am extremely impressed with them so far. I was extremely skeptical at first, but I'm very glad I decided to get them!","headphones, reviews, sound quality","best, great, really amazing",positive,
https://www.amazon.com/gp/customer-reviews/R33FNNT0EXG6MQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"Good sound, though I’m 63 and not an audiophile. But you can’t beat them for convenience. Great for walking due to Siri based controls. Siri also let’s me look unfamiliar words while listening to audiobooks, which I love. Only earbuds I’ve ever found that stay in my ears, yet so light and comfortable that I forget I have them in. Not exactly a fashion statement in my opinion. I joke that, with the white protuberances going down out of the years of an older guy, it looks like his hearing aids are melting. But yeah, very very good and reliable product, pairs perfectly every time with no dropped signal, really excellently designed all the way around.","sound, earbuds, product, designed","good, light and comfortable, very very good and reliable, excellently",positive,
https://www.amazon.com/gp/customer-reviews/R3LFYLCKREZBYF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"I'm not really sure how helpful a review is at this point. Everyone who's going to buy AirPods already knows that they like them or not. Apple is releasing some AirPods with noise cancellation, I think that's the biggest complaint most people have: that they don't feel like they're deafened to the world around them. But everytime someone comes into my office I have to stop the music or take the AirPods completely out of my ears to hear them clearly. The sound quality is decent. I'm no audiophile so to me they sound great. They also are easy to lose, but so are any other tiny cordless in-ear earphones. Just keep track of them and you should be good to go. At first they hurt my ears so I bought some silicone covers with wingtips. They helped the AirPods stay in my ears without moving around and ""softened"" the edges of the earphones. I guess they stretched my ears out or I just got used to wearing them, because now even without the silicone covers they fit and feel just fine. The battery life is pretty good, and popping them back in the case for 10-15 minutes boosts them almost back up to full. So I'll wear them at work and then if I get up to grab a drink or use the bathroom I'll give the AirPods a quick charge and be good to go the rest of the day. At first double-tapping to get them to pause or skip a song was frustrating but there's a tutorial online somewhere that shows you where to tap to get consistent results: just above the neck of the AirPods. They pair immediately with your iPhone and I've never had any connectivity issues or sound quality issues, so I'm very happy with my purchase.","sound quality, battery life","decent, pretty good",positive,
https://www.amazon.com/gp/customer-reviews/R31IOZCPKWCHHQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,4,"Given Apple’s price-quality continuum history, I had high expectations for this pricey set of earbuds. Out of the box and after fully charging, I was amazed at how fast they paired with my iPhone7. I have about 20 sets of earphones, ranging in price from the cheapo Monoprice to the Bose Sportsound. So, I put them in my ear canals and headed out for my 3-mile loop. I had expressed doubt that they would remain seated in my external auditory meatus while running. I had not gone 100m and the left one popped out and hit the pavement. This happened three more times before I was done. The right channel never moved. The sound quality was excellent. Not so great for excluding the ambient sound of passing cars. So, bottom line: great packaging. Long play life. Excellent sound in environments where ambient noise is around 80dB. If your ears are like mine, you’ll likely be picking one of them off the ground. The touch feature is great for taking phone calls. But, the Bose wins hands down for fit and exclusion of background noise. Plus, you have a fail-safe wire connecting both buds, a comforting thought when riding a bike. Who wants to retrieve a lost earbud when cranking along at 20mph?","paired, sound quality, packaging, play life, sound, touch feature","fast, excellent, great, long, excellent, great",positive,
https://www.amazon.com/gp/customer-reviews/R31KMLCDEZFT3C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"I know I’ve tried every wireless headphone there is on the market! I could not talk on the phone clearly with any of them! I was about to give up when the guy at the nail salon told me about these! At this point I’d spent so much on the cheap ones that I decided to “invest” in these! I’m SOOOOO happy with them and they’re well worth the investment! The people on the other end of my phone say they can hear me better than speaker and the Bluetooth in my car! After I raved about them constantly to my family they have all bought a pair! Even my mother in law bought a pair. Now, we’re all picking out our waterproof and AirPod cases!","investment, airpod cases","worth, waterproof",positive,
https://www.amazon.com/gp/customer-reviews/R1DUQCPHC7FC5S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,1,"I actually really like airpods but this is totally unacceptable quality control. It seems every time I go to use them I have to re-pair them with my phone because the left airpod is not working for whatever reason. Today upon trying to fix them I am now receiving a red exclamation mark, even after re-pairing and re-setting several times and checking the bottom of the pod and the case for debris or damage.",quality control,unacceptable,negative,
https://www.amazon.com/gp/customer-reviews/R3RPM42FPW42X3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,1,"Update: I've had these for six months and the case has stopped charging. They are essentially useless now. I would recommend purchasing through Apple so you can get another pair if yours malfunctions. Since I purchased on here and the return window is closed, I cannot get another pair, which means $130 down the drain. This was definitely one of my best Amazon purchases. The sound quality on these is amazing even during phone calls. The charging case holds an impressive amount of charge so I only need to recharge it once every 2-3 days, which isn't very much considering I use these 8-10 hours a day.at work. That being said, there are some cons to these. The battery life of the AirPods themselves isn't the best-- you'll get 1-2 hours max. Now, five minutes in the charging case will get these back to full charge, so take that with a grain of salt. The biggest con for me has been the Bluetooth connectivity. I have an IPhone 11 so I would expect these to have no issues with connecting. However, every few times I use these, one or both of the AirPods does not connect when I pull it out of the case. It usually takes about five minutes to figure out the problem and re-connect them. It's definitely a problem when I'm trying to pick up a call on my AirPods or listen to something quickly. For that reason, I'd give these 4/5 stars. They're still worth the purchase but I'd recommend adding AppleCare so you can get a replacement if you have the same issues. (P.S. If you have an Apple watch, these do not connect independently to the Apple Watch, you will need to have your IPhone on you.)","sound quality, battery life, purchase","amazing, isn't the best, worth",negative,Can the model capture updates?
https://www.amazon.com/gp/customer-reviews/R15BWJA73LU7PC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,2,"These airpods are not any good. First, they DO NOT hold a charge that long. The sound quality is terrible, If you have one in and the 2nd one near by, it's constantly switching automatically. Unable to hear out of both airpods at the same time either talking or listening to music. While on a call, you have to damn near scream so that the other person can hear you. I'm not pleased at all with these airpods. Lastly, one of the airpods just stopped working. So, this was a bust purchase...","airpods, sound quality, purchase","not any good, terrible, bust",negative,
